run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR8606942	SAMEA12999274	ERX8239522	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/002/ERR8606942/ERR8606942.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606942/SL1_2_9_S64_L005_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/002/ERR8606942.bam
ERR8606944	SAMEA12999278	ERX8239524	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/004/ERR8606944/ERR8606944.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606944/SL2_12_11_S16_L002_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/004/ERR8606944.bam
ERR8606945	SAMEA12999276	ERX8239525	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/005/ERR8606945/ERR8606945.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606945/SL2_2_10_S104_L007_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/005/ERR8606945.bam
ERR8606948	SAMEA12999274	ERX8239528	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/008/ERR8606948/ERR8606948.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606948/SL1_2_10_S59_L005_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/008/ERR8606948.bam
ERR8606951	SAMEA12999278	ERX8239531	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/001/ERR8606951/ERR8606951.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606951/SL2_12_7_S19_L002_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/001/ERR8606951.bam
ERR8606952	SAMEA12999274	ERX8239532	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/002/ERR8606952/ERR8606952.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606952/SL1_2_13_S62_L005_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/002/ERR8606952.bam
ERR8606953	SAMEA12999276	ERX8239533	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/003/ERR8606953/ERR8606953.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606953/SL2_2_2_S119_L008_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/003/ERR8606953.bam
ERR8606954	SAMEA12999278	ERX8239534	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/004/ERR8606954/ERR8606954.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606954/SL2_12_4_S11_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/004/ERR8606954.bam
ERR8606985	SAMEA12999276	ERX8239565	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/005/ERR8606985/ERR8606985.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606985/SL2_2_8_S111_L007_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/005/ERR8606985.bam
ERR8606988	SAMEA12999276	ERX8239568	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/008/ERR8606988/ERR8606988.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606988/SL2_2_13_S107_L007_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/008/ERR8606988.bam
ERR8606990	SAMEA12999277	ERX8239570	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/000/ERR8606990/ERR8606990.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606990/SL2_11_4_S36_L003_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/000/ERR8606990.bam
ERR8606992	SAMEA12999278	ERX8239572	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/002/ERR8606992/ERR8606992.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606992/SL1_6_13_S4_L001_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/002/ERR8606992.bam
ERR8606993	SAMEA12999276	ERX8239573	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/003/ERR8606993/ERR8606993.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606993/SL2_2_9_S112_L007_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/003/ERR8606993.bam
ERR8606996	SAMEA12999276	ERX8239576	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/006/ERR8606996/ERR8606996.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606996/SL2_2_12_S106_L007_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/006/ERR8606996.bam
ERR8606998	SAMEA12999274	ERX8239578	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/008/ERR8606998/ERR8606998.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606998/SL2_8_10_S65_L005_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/008/ERR8606998.bam
ERR8606999	SAMEA12999277	ERX8239579	PRJEB50857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR860/009/ERR8606999/ERR8606999.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR860/ERR8606999/SL2_11_11_S46_L004_R1_001.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR860/009/ERR8606999.bam
