run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR4094755	SAMEA6813554	ERX4090053	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4094755/ERR4094755.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094755/ATT26.mappedHs37.trim2.bam		
ERR4094759	SAMEA6813558	ERX4090057	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4094759/ERR4094759.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094759/BES1248.mappedHs37.trim2.bam		
ERR4094760	SAMEA6813559	ERX4090058	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4094760/ERR4094760.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094760/BFM265.mappedHs37.trim2.bam		
ERR4094762	SAMEA6813561	ERX4090060	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4094762/ERR4094762.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094762/BIS385.mappedHs37d5.trim2.bam		
ERR4094763	SAMEA6813562	ERX4090061	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4094763/ERR4094763.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094763/BLP10.mappedHs37d5.trim2.bam		
ERR4094766	SAMEA6813565	ERX4090064	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4094766/ERR4094766.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094766/COL11.mappedHs37.trim2.bam		
ERR4094768	SAMEA6813567	ERX4090066	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4094768/ERR4094768.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094768/COL153i.mappedHs37.trim2.bam		
ERR4094771	SAMEA6813570	ERX4090069	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4094771/ERR4094771.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094771/ERS86.mappedHs37.trim2.bam		
ERR4094773	SAMEA6813572	ERX4090071	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4094773/ERR4094773.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094773/Es97-1.mappedHs37d5.trim2.bam		
ERR4094777	SAMEA6813576	ERX4090075	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4094777/ERR4094777.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094777/Mor6.mappedHs37d5.trim2.bam		
ERR4094778	SAMEA6813577	ERX4090076	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4094778/ERR4094778.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094778/NIED.mappedHs37d5.trim2.bam		
ERR4094779	SAMEA6813578	ERX4090077	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4094779/ERR4094779.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094779/NOR2B6.mappedHs37.trim2.bam		
ERR4094780	SAMEA6813579	ERX4090078	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4094780/ERR4094780.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094780/NOR3-15.mappedHs37.trim2.bam		
ERR4094781	SAMEA6813580	ERX4090079	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4094781/ERR4094781.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094781/NOR3-6.mappedHs37.trim2.bam		
ERR4094783	SAMEA6813582	ERX4090081	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4094783/ERR4094783.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094783/OBE3626-1.mappedHs37d5.trim2.bam		
ERR4094757	SAMEA6813556	ERX4090055	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4094757/ERR4094757.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094757/BERG157-2.mappedHs37d5.trim2.bam		
ERR4094758	SAMEA6813557	ERX4090056	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4094758/ERR4094758.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094758/BERG157-7.mappedHs37d5.trim2.bam		
ERR4094784	SAMEA6813583	ERX4090082	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4094784/ERR4094784.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094784/OBE3722.mappedHs37d5.trim2.bam		
ERR4094767	SAMEA6813566	ERX4090065	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4094767/ERR4094767.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094767/COL153A.mappedHs37.trim2.bam		
ERR4094788	SAMEA6813587	ERX4090086	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4094788/ERR4094788.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094788/PEI2.mappedHs37d5.trim2.bam		
ERR4094769	SAMEA6813568	ERX4090067	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4094769/ERR4094769.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094769/CRE20D.mappedHs37d5.trim2.bam		
ERR4094790	SAMEA6813589	ERX4090088	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4094790/ERR4094790.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094790/PER3023.mappedHs37d5.trim2.bam		
ERR4094791	SAMEA6813590	ERX4090089	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4094791/ERR4094791.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094791/PER3123.mappedHs37d5.trim2.bam		
ERR4094798	SAMEA6813597	ERX4090096	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4094798/ERR4094798.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094798/PSS4170.mappedHs37d5.trim2.bam		
ERR4094770	SAMEA6813569	ERX4090068	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4094770/ERR4094770.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094770/ERS1164.mappedHs37.trim2.bam		
ERR4094800	SAMEA6813599	ERX4090098	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4094800/ERR4094800.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094800/PT2.mappedHs37.trim2.bam		
ERR4094772	SAMEA6813571	ERX4090070	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4094772/ERR4094772.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094772/ERS88.mappedHs37.trim2.bam		
ERR4094803	SAMEA6813602	ERX4090101	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4094803/ERR4094803.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094803/RIX15.mappedHs37d5.trim2.bam		
ERR4094775	SAMEA6813574	ERX4090073	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4094775/ERR4094775.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094775/Jeb8.mappedHs37.trim2.bam		
ERR4094804	SAMEA6813603	ERX4090102	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4094804/ERR4094804.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094804/RIX2.mappedHs37d5.trim2.bam		
ERR4094805	SAMEA6813604	ERX4090103	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4094805/ERR4094805.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094805/RIX4.mappedHs37d5.trim2.bam		
ERR4094786	SAMEA6813585	ERX4090084	PRJEB38152	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4094786/ERR4094786.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4094786/PECH8.mappedHs37.trim2.bam		
