Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
ROS31	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						T2b3-151		15370	0+/-0		
ROS36	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach			Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						T2b					
ROS40B	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						H3-152		30307	0+/-0		
ROS42	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5762 +/- 33BP (SUERC-46442)	4680-4590	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						K1b1		6551	0+/-0		
ROS43	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 2	Grossgartach			Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						N1a1a					
ROS45	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5833 +/- 29BP (OxA-27814)	4730-4655	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture + shotgun	EF-MN1	EF-MN1	70.8	XY	H5u	I2a1b	H5u	I2	18673	0+/-0	-0.002293	0.001366021
ROS47	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						H1c	I2a1a2	23933	0+/-0		
ROS57	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						T2f	G2a2b2a4a1a2 	30178	0.015+/-0.005		
ROS62	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						J1c2		11462	0+/-0		
ROS66	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						K1a	IJK	11640	0+/-0		
ROS78	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500 	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture + shotgun	EF-MN1	EF-MN1	75.2	XY	U8b1b1	I2a1b	U8b1b1	I2a2b~	24660	0+/-0	0.002322	0.004366649
ROS82	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach	5816 +/-28BP (SUERC-46435)	4725-4640	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture + shotgun	EF-MN1	EF-MN1	49.3	XX	T2f7		T2b		29391	0+/-0		
ROS85	Rosheim "Mittelfeld" "Rosenmeer"	Rosheim	48.49666	7.47052	Middle Neolithic 1 	Grossgartach		4700-4500	Grand-Est (East)	Bas-Rhin	E. Boes / C. Jeunesse	PB	5	capture	EF-MN1						X2b4		7427	0+/-0		
