Table S1-1: Sample information, sequencing and contamination for the individuals analyzed in this study																										
ID	Site	Location	Latitude	longitude	Period	Culture	Dates (BP) on specimen	Dates (E)	Region	Department	Archeologist	Bone type	Site Number FigS1-1	analysis method	Group Label mtDNA	Group Label Genome	% endogenous DNA	Sex	mt Haplogroup shotgun	Y haplogroup (shotgun)	mt haplogroup (capture)	Y haplogroup (capture)	Capture mt reads	mt contamination	X contamination (Method2: MoM, SE)	
SP1	Le Champ du Poste	Carcassonne	43.1247	2.2107	Middle Neolithic 1	Neolithique moyen1	5695 +/- 40BP (GrA-44216)	4680-4453	Occitanie (South)	Aude	F. Convertini	PB	35	capture	SF-MN						V		7177	0+/-0		
SP395	Le Champ du Poste	Carcassonne	43.1247	2.2107	Middle Neolithic 1	Neolithique moyen1	5870 +/- 30BP (Ly-15189)	4827-4687	Occitanie (South)	Aude	F. Convertini	PB	35	capture	SF-MN						K1a-195		18084	0+/-0		
SP249	Le Champ du Poste	Carcassonne	43.1247	2.2107	Middle Neolithic 2	Chasséen ancien	5425 +/- 30BP (Ly-15188)	4341-4239	Occitanie (South)	Aude	F. Convertini	PB	35	capture	SF-MN						J2b1a2		9248	0+/-0		
SP386	Le Champ du Poste	Carcassonne	43.1247	2.2107	Middle Neolithic 2	Neolithique moyen1	5890 +/- 35BP (GrA-44260)	4827-4687	Occitanie (South)	Aude	F. Convertini	PB	35	capture	SF-MN											
Cx13	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen classique	5310 +/- 40BP (Ly-3697)	4260-3990	Occitanie (South)	Haute-Garonne	J. Vaquer/M. Gandelin	PB	40	capture	SF-MN						U5b1-16189		11253	0+/-0		
Cx161	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen classique	5340 +/  30BP (Ly-15193)	4314-4052	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN						H1	I1a2b4~	12331	0+/-0		
Cx165	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen classique	5250 +/- 35BP (Ly-3699)	4230-3970	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN						H1e1a		18043	0+/-0		
Cx166	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen classique	5325 +/- 30BP (Ly-3559)	4260-4040	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN						J1c3		3717	0+/-0		
Cx19	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen ancien	5445 +/- 35BP (Ly-15194)	4351-4242	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN						K1a4a1	I2a1a2	21767	0+/-0		
Cx18	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen ancien			Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN											
Cx30	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen ancien			Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN											
Cx20	ZAC Agora	Cugnaux	43.3219	1.204	Middle Neolithic 2	Chasséen ancien	5405 +/- 30BP (Ly-15195)	4339-4177	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	40	capture	SF-MN						H4a1a		7471	0+/-0		
VT5-7	La Terrasse	Villeneuve-Tolosane	43.3129	1.2033	Middle Neolithic 2	Chasséen classique ou récent		4100-3700	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	39	capture	SF-MN						X2b-226	I2a1a2	20040	0+/-0		
VT7	La Terrasse	Villeneuve-Tolosane	43.3129	1.2033	Middle Neolithic 2	Chasséen ancien	5350 +/- 30BP (Ly-15190)	4322-4053	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	39	capture	SF-MN						HV0-195		5453	0+/-0		
VTP4-3	La Terrasse	Villeneuve-Tolosane	43.3129	1.2033	Middle Neolithic 2	Chasséen récent	5154 +/- 45BP (Erl-11364)	4046-3802	Occitanie (South)	Haute-Garonne	J.Vaquer/M. Gandelin	PB	39	capture	SF-MN						U5b2b		21298	0+/-0		
BER49	Les Plots	Berriac	43.1303	2.2451	Middle Neolithic 2	Chasséen ancien	5410 +/-30BP (Ly-14868)	4340-4180	Occitanie (South)	Aude	M. Gandelin	PB	36	capture	SF-MN						J1c1b		11702	0+/-0		
BER36	Les Plots	Berriac	43.1303	2.2451	Middle Neolithic 2	Chasséen ancien	5400 +/-30BP (Ly-14867)	4338-4172	Occitanie (South)	Aude	M. Gandelin	PB	36	capture	SF-MN						K1b1a		8275	0+/-0		
BER37	Les Plots	Berriac	43.1303	2.2451	Middle Neolithic 2	Chasséen ancien	5390 +/-30BP (Ly-14866)	4336-4076	Occitanie (South)	Aude	M. Gandelin	PB	36	capture	SF-MN						U3a1		17692	0+/-0		
CRE3	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5320 +/- 35BP (Ly-3422)	4257-4044	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						U3a1	I2a1a2	15268	0+/-0		
CRE5B	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4336-4070	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						H3c		13167	0+/-0		
CRE5C	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5385 +/- 35BP (Ly-3423	4336-4071	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						H1a		14705	0+/-0		
CRE5D	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4336-4072	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						J1c3		14250	0+/-0		
CRE7-A	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5415 +/-30BP (Ly-14860)	4341-4233	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						J2b1a		7371	0+/-0		
CRE8C	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5475 +/- 35BP (Ly-14861)	4500-4100	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						H1		3540			
CRE11A	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4500-4100	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						X2b-226	I2	14802	0+/-0		
CRE11B	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4500-4100	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						J1c3		15443	0+/-0		
CRE11C	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4500-4100	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						J2b1a2		14794	0+/-0		
CRE14	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5485 +/-30BP (Ly-14862)	4442-4261	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						H4a1a		20148	0+/-0		
CRE20-A	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5380 +/- 35BP (Ly-3424)	4334-4068	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						K1a4a1		8640	0+/-0		
CRE20-B	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4334-4069	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						U5b1c		21272	0+/-0		
CRE20-D	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien		4334-4068	Occitanie (South)	Herault	V. Fabre	PB	37	capture + shotgun	SF-MN	SF-MN2	28.08	XX	H-16291		H3		17307	0+/-0		
CRE21	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5460 +/- 30BP (Ly-14863)	4356-4258	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						K1a-195		13089	0+/-0		
CRE29	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5385 +/- 35BP (Ly3426)	4336-4071	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						K1a1b1	I2a1b1a2b1a2a2b1b1~	16137	0+/-0		
CRE30	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5475 +/-30BP (Ly-14864)	4366-4259	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						H3		6072	0+/-0		
CRE34	Le Crès	Béziers	43.2051	3.1308	Middle Neolithic 2	Chasséen ancien	5495 +/- 30BP (Ly-14865)	4446-4265	Occitanie (South)	Herault	V. Fabre	PB	37	capture	SF-MN						V		8839	0+/-0		
PIR1	Le Pirou	Valros	43.2516	3.2202	Middle Neolithic 2	Chasséen ancien	5406 +/- 48BP (Erl13045)	4346-4246	Occitanie (South)	Herault	M. Gandelin	PB	38	capture	SF-MN						U5b3 					
Pir2	Le Pirou	Valros	43.2516	3.2202	Middle Neolithic 2	Chasséen ancien	5440 +/- 30BP (Ly-15187)	4346-4246	Occitanie (South)	Herault	M. Gandelin	PB	38	capture	SF-MN						J1c3		15750	0+/-0		
Pir3	Le Pirou	Valros	43.2516	3.2202	Middle Neolithic 2	Chasséen ancien	5450 +/- 47BP (Erl13042)	4444-4172	Occitanie (South)	Herault	M. Gandelin	PB	38	capture	SF-MN						K1a4a1		15904	0+/-0		
Pir4	Le Pirou	Valros	43.2516	3.2202	Middle Neolithic 2	Chasséen  ancien	5494 +/-49BP (Erl13040)	4450-4173	Occitanie (South)	Herault	M. Gandelin	PB	38	capture + shotgun	SF-MN	SF-MN2	23.234	XX	V10a		V		17978	0+/-0		
Pir7	Le Pirou	Valros	43.2516	3.2202	Middle Neolithic 2	Chasséen ancien	5456+/-49BP (Erl13035)	4446-4176	Occitanie (South)	Herault	M. Gandelin	PB	38	capture	SF-MN						X2b		16060	0+/-0		
ISM1	Le Prieuré	Isle-sur-Marne	48.64004	4.68797	Late Neolithic	Néolithique récent		2800-2500	Grand-Est (East)	Marne	O. Baillif	PB	29	capture	EF-LN						X2b-226		25272	0+/-0		
ISM2	Le Prieuré	Isle-sur-Marne	48.64004	4.68797	Late Neolithic	Néolithique récent	4130 +/- 30BP (Beta-450195)	2872-2583	Grand-Est (East)	Marne	O. Baillif	PB	29	capture	EF-LN						U5b1-16189		25863	0+/-0		
CHEP2	chemin Royat	La Cheppe	49.05071	4.49884	Late Neolithic	Neolithique final	4015 +/- 35BP (GrA-44231)	2621-2468	Grand-Est (East)	Marne	H. Bocquillon	PB	30	capture	EF-LN						H1		16906	0+/-0		
CHEP3	chemin Royat	La Cheppe	49.05071	4.49884	Late Neolithic	Neolithique final		2600-2400	Grand-Est (East)	Marne	H. Bocquillon	PB	30	capture	EF-LN						U5b1b2		21398	0+/-0		
CHEP4	chemin Royat	La Cheppe	49.05071	4.49884	Late Neolithic	Neolithique final		2600-2400	Grand-Est (East)	Marne	H. Bocquillon	PB	30	capture	EF-LN						U5b1b2		23116	0.015+/-0.005		
BRE445A	ZAC st Martin	Bréviandes	48.25698	4.09535	Late Neolithic	Neolithique final		2500-2200	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	EF-LN						K1b1a1		11761	0+/-0		
BRE445B	ZAC st Martin	Bréviandes	48.25698	4.09535	Late Neolithic	Neolithique final	3940 +/-40BP (GrN-31284)	2568-2299	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	EF-LN						T2c1e		20741	0+/-0		
BRE445C	ZAC st Martin	Bréviandes	48.25698	4.09535	Late Neolithic	Neolithique final		2500-2200	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	EF-LN						V		7834	0.1+/-0.015		
BRE445FK	ZAC st Martin	Bréviandes	48.25698	4.09535	Late Neolithic	Neolithique final		2500-2200	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	EF-LN						U5b1		7527	0+/-0		
BRE445HI	ZAC st Martin	Bréviandes	48.25698	4.09535	Late Neolithic	Neolithique final		2500-2200	Grand-Est (East)	Aube	C. Laurelut	PB	17	capture	EF-LN						K1b1a1		32136	0+/-0		
BOU1	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 1	4590 +/- 30BP (Ly-14870)	3499-3126	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						U2e1c1	G2a	25993	0.1+/-0.005		
BOU10	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 1 ou 2 (Ferrières)		3500-3000	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						K1a-195		12546	0+/-0		
BOU11	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 2 (Ferrières)	4485 +/-30BP (Ly-14871)	3344-3035	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						T2c1d-152	G2a1a1a1a1a	32184	0.02+/-0.005		
BOU12	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 1 ou 2 (Ferrières)	4560 +/- 30BP (Ly-15201)	3487-3107	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						H-195		9111	0+/-0		
BOU15	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 2 (Ferrières)	4465 +/- 30BP (Ly14872)	3337-3024	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						V17		15441	0.105+/-0.00499999999999999		
BOU4	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 2 (Ferrières)	4530 +/- 30BP (Ly-15198)	3361-3103	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						K1b1a	G2a2b2b	25346	0.04+/-0.005		
BOU6	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 1	4680 +/- 30BP (Ly-14869)	3623-3370	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						U5b2b3a		12879	0+/-0		
BOU7	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 2 (Ferrières)	4530 +/- 30BP (Ly-15199)	3361-3103	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						H10-16093		17535	0.07+/-0.005		
BOU9	Aven de la Boucle	Corconne	43.5222	3.5625	Late Neolithic	Néolithique final 2 (Ferrières)	4475 +/-30BP (Ly-15200)	3339-3029	Occitanie (South)	Gard	H Duday	PB	41	capture	SF-LN						K1a-195	G2a	29110	0+/-0		
MIT1155	MITRA 3	Garons	43.77005	4.42454	Late Neolithic	Néolithique final 3 (Fontbouisse)	3950 +/- 35BP (Poz-50751)	2502-2340	Occitanie (South)	Gard	B. Sendra	PB	45	capture	SF-LN						U5b1-16189		4714	0+/-0		
MIT83A	MITRA 3	Garons	43.77005	4.42454	Late Neolithic	Néolithique final 3 (Fontbouisse)	3890 +/- 35BP (Poz-50752)	2471-2235	Occitanie (South)	Gard	B. Sendra	PB	45	capture	SF-LN						K1b1a		4378	0+/-0		
EUG12	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Late Neolithic	Néolithique final 2 (Vérazien classique) 	4190 +/- 30BP (Ly-15197)	2891-2671	Occitanie (South)	Aude	J. Guilaine	PB	42	capture	SF-LN						J1c8a		10365	0+/-0		
EUG2	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Late Neolithic	Néolithique final 2 (Vérazien classique) ? 		3000-2600	Occitanie (South)	Aude	J. Guilaine	PB	42	capture	SF-LN						U5b1d1		12650	0+/-0		
EUG5	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Late Neolithic	Néolithique final 2 (Vérazien classique) ? 	4140 +/-30BP (Beta-471247)	2874-2621	Occitanie (South)	Aude	J. Guilaine	PB	42	capture	SF-LN						H1ak1		5199	0+/-0		
EUG8	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Late Neolithic	Néolithique final 2 (Vérazien classique) ? 	4270 +/-30BP (Beta471250)	2925-2871	Occitanie (South)	Aude	J. Guilaine	PB	42	capture	SF-LN						T2c1d-152		6965	0+/-0		
EUG10	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Late Neolithic	Néolithique final 2 (Vérazien classique) ? 	4390 +/-30BP (Ly-15197)	3092-2918	Occitanie (South)	Aude	J. Guilaine	PB	42	capture	SF-LN											
FAD1	Dolmen des Fades	Pépieux	43.1751	2.4049	Late Neolithic	Néolithique final 2 (Vérazien classique) 	4240 +/-30BP (Ly-14873)	2911-2705	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	SF-LN						J1c1b		14694	0+/-0		
FAD10	Dolmen des Fades	Pépieux	43.1751	2.4049	Late Neolithic	Néolithique final 3 (Vérazien récent)	4015 +/- 30BP (Ly-15204)	2618-2470	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	SF-LN						H		21404	0+/-0		
FAD12	Dolmen des Fades	Pépieux	43.1751	2.4049	Late Neolithic	Néolithique final 2 (Vérazien classique) 	4135 +/- 30BP (Ly15205)	2872-2620	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	SF-LN						H		10699	0+/-0		
FAD3	Dolmen des Fades	Pépieux	43.1751	2.4049	Late Neolithic	Néolithique final 2 (Vérazien classique) 	4405 +/- 30BP (Ly-15203)	3264-2917	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	SF-LN						H3	I2	13653	0+/-0		
CBV95	La Bouche-à-Vesle	Ciry_Salsogne	49.36232	3.46272	Late Neolithic	Campaniforme	3970 +/- 30BP (GrA-32767)	2574-2452	Hauts-de-France (North)	Aisne	C. Thevenet	PB	31	capture + shotgun	NF-BB	NF-BB	65.969	XY	J2a1a1	R1b1a1a2	J2a1a1	R1b1a1	12862	0.105+/-0.00499999999999999	0.023183	0.02494612
PEI2	Dolmen des Peirières	Villedubert	43.1355	2.2519	Late Neolithic	Campaniforme	3935 +/- 30BP (Ly-14875)	2563-2308	Occitanie (South)	Aude	H Duday	PB	44	capture + shotgun	SF-BB	SF-BB	13.259	XY	H3	G2a2b2b1a1~	H1				0.048156	0.01272432
PEI10	Dolmen des Peirières	Villedubert	43.1355	2.2519	Late Neolithic	Néolithique final 2 (Vérazien classique) 	4200 +/- 30BP (Ly-14876)	2894-2678	Occitanie (South)	Aude	H Duday	PB	44	capture + shotgun	SF-LN	SF-LN	13.259	XX			V					
PSS4170	Pont-sur-Seine	Pont-sur-Seine	48.51852	3.59633	Early Bronze Age	Early Bronze Age	3690 +/- 30BP (Beta-490471)	2196-1977	Grand-Est (East)	Aube	F. Dugois/S. Loiseau	PB	23	capture + shotgun	F-BA	EF-BA1	30.693	XY	H25	R1b1a1a2a2a	H	R1b1	12456	0+/-0	0.004128	0.005096676
OBE3626-1	PAEI	Obernai	48.46226	7.48167	Early Bronze Age	Early Bronze Age	3505 +/- 35BP (Poz-67563)	1926-1701	Grand-Est (East)	Bas-Rhin	C. Féliu	PB	9	shotgun	F-BA	EF-BA1	76.44	XY	R1b	R1b1a1a2					0.001544	0.009544461
OBE3626-2	PAEI	Obernai	48.46226	7.48167	Early Bronze Age	Early Bronze Age		2000-1700	Grand-Est (East)	Bas-Rhin	C. Féliu	PB	9	capture	F-BA						V		4629	0+/-0		
OBE3628	PAEI	Obernai	48.46226	7.48167	Early Bronze Age	Early Bronze Age		2000-1701	Grand-Est (East)	Bas-Rhin	C. Féliu	PB	9	capture	F-BA						H2a1					
OBE3722	PAEI	Obernai	48.46226	7.48167	Early Bronze Age	Early Bronze Age		2000-1700 	Grand-Est (East)	Bas-Rhin	C. Féliu	PB	9	capture + shotgun	F-BA	EF-BA1	63.88	XX	I5		I4a		6116	0+/-0		
RIX4	Zac du Petit Prince	Rixheim	47.74437	7.39683	Early Bronze Age	Bronze Age A2a	3415+/-40BP (GrA-33880)	1750-1630	Grand-Est (East)	Haut-Rhin	Axelle MURER	PB	10	capture + shotgun	F-BA	EF-BA1	82.805	XX	K1a4a1a1		K1a4a1a		9442	0.13+/-0.005		
RIX2	Zac du Petit Prince	Rixheim	47.74437	7.39683	Early Bronze Age	Bronze Age A2a		1700-1600 	Grand-Est (East)	Haut-Rhin	Axelle MURER	PB	10	shotgun	F-BA	EF-BA1	57.828	XY	T2c1d-152	R1b1a1a2a1a					0.0131	0.01655032
RIX15	Zac du Petit Prince	Rixheim	47.74437	7.39683	Early Bronze Age	Bronze Age A2a		1700-1600 	Grand-Est (East)	Haut-Rhin	Axelle MURER	PB	10	capture + shotgun	F-BA	EF-BA1	80.744	XY	T2b19	R1b1a1a2a1a	T2b19		11612	0.05+/-0.005	-0.001099	0.002294959
BIS385	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800 	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture + shotgun	F-BA	EF-BA1	77.716	XX	T2c1d2a		T2c1d1		3098	0+/-0		
BIS159	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture	F-BA			XY			U5a1a1		7405	0+/-0		
BIS382	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture	F-BA			XY			U2e2a4		9025	0+/-0		
BIS388-1	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture	F-BA						U2e1		4749	0+/-0		
BIS388-2	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture	F-BA						X2b-226		6058	0+/-0		
BIS130	Muehlacker	Bischwihr	48.09825	7.43701	Early Bronze Age	Bronze Age A2a		2000-1800 	Grand-Est (East)	Haut-Rhin	Luc Vergnaud	PB	8	capture + shotgun	F-BA	EF-BA1	53.683	XY	K2b1b	R1b1a1a2	K2b1b		6983	0.135+/-0.005		
NIED	Innere Allmende	Niederergheim	47.98479	7.39916	Late Bronze Age	Bronze Age IIIb		914-810	Grand-Est (East)	Haut-Rhin	H Barrand Emam	PB	7	capture + shotgun	F-BA	EF-BA2	79.157	XX	U5b2b		U5b2b		15983	0.075+/-0.00499999999999999		
VTQ14	La Terrasse	Villeneuve-Tolosane	43.3129	1.2033	Early Bronze Age	Early Bronze Age	3510 +/- 30BP (Ly-15192)	1918-1748	Occitanie (South)	Haute-Garonne	M. Gandelin	PB	39	capture	F-BA						I2		16784	0+/-0		
PIR3116B	Rec de Ligno	Valros	43.2516	3.2202	Early Bronze Age	Early Bronze Age	3790 +/-30BP (Ly-14877)	2336-2135	Occitanie (South)	Herault	M. Gandelin	PB	38	capture + shotgun	F-BA	SF-BA1	48.76	XY	H2a1e	R1b1a1a2	H2a1	R1b1	10374	0+/-0	0.051866	0.05552951
PIR3037AB	Rec de Ligno	Valros	43.2516	3.2202	Early Bronze Age	Early Bronze Age	3663 +/- 43BP (Erl-12277)	2195-1922	Occitanie (South)	Herault	M. Gandelin	PB	38	capture + shotgun	F-BA	SF-BA1	34.373	XY	U4c1	R1b1a1a2	U4c1a		3770	0+/-0	0.130497	0.1316966
PIR3117	Rec de Ligno	Valros	43.2516	3.2202	Early Bronze Age	Early Bronze Age	3606 +/- 43BP (Erl-12278)	2132-1785	Occitanie (South)	Herault	M. Gandelin	PB	38	capture	F-BA						K2a5	I2	3455	0+/-0		
EUG11	Dolmen de Saint-Eugène	Laure	43.162	2.3116	Early Bronze Age	Early Bronze Age 	3580 +/- 30BP (Beta-471249)	2028-1878	Occitanie (South)	Aude	J. Guilaine	PB	42	capture + shotgun	F-BA	SF-BA1	16.325	XY	V9	R1b1a2a	V	R	12083	0+/-0	-0.007125	0.004310694
FAD9	Dolmen des Fades	Pépieux	43.1751	2.4049	Early Bronze Age	Early Bronze Age	3490 +/- 30BP (Ly-14874)	1893-1700	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	F-BA						K1b1a1	I1a2a1a1a3a2b~	20180	0+/-0		
QUIN59	Quinquiris	Castelnaudary	43.29568	1.96175	Early/Middle Bronze Age	Early/Middle Bronze Age		-	Occitanie (South)	Aude	F. Maziere	PB	46	capture	F-BA						N1a1a1a		4830	0+/-0		
QUIN234	Quinquiris	Castelnaudary	43.29568	1.96175	Early/Middle Bronze Age	Early/Middle Bronze Age			Occitanie (South)	Aude	F. Maziere	PB	46	Shotgun	F-BA	SF-BA1	48.233	XX	H3m		H3					
QUIN58	Quinquiris	Castelnaudary	43.29568	1.96175	Early/Middle Bronze Age	Early/Middle Bronze Age		2100-1200 	Occitanie (South)	Aude	F. Maziere	PB	46	capture + shotgun	F-BA	SF-BA1	47.298	XY	H1ah	R1b1a1a2	H1ah	R1b1a1a2	12815	0.03+/-0.005		
PIR6	Le Pirou	Valros	43.2516	3.2202	Middle Bronze Age	Middle Bronze Age	3356+/- 43BP (Erl-12275)	1745-1529	Occitanie (South)	Herault	M. Gandelin	PB	38	capture + shotgun	F-BA	SF-BA1	60.06	XX	V		V					
MIT1031	MITRA 3	Garons	43.77005	4.42454	Middle Bronze Age	Middle Bronze Age		1800-1600	Occitanie (South)	Gard	B. Sendra	PB	45	capture	F-BA						J1b1a1		3836	0+/-0		
FAD2	Dolmen des Fades	Pépieux	43.1751	2.4049	Middle Bronze Age	Middle Bronze Age	3320 +/- 30BP (Ly-15202)	1683-1521	Occitanie (South)	Aude	J. Guilaine	PB	43	capture	F-BA						H1-16189	R1b1a1b1	18870	0+/-0		
MIT11	MITRA 3	Garons	43.77005	4.42454	Middle Bronze Age	Middle Bronze Age	3390 +/- 35BP (Poz-50754)	1772-1608	Occitanie (South)	Gard	B. Sendra	PB	45	capture	F-BA						K1c		2684	0+/-0		
MAND1175	Manduel	Manduel	43.81	4.47	Middle Bronze Age	Middle Bronze Age		-	Occitanie (South)	Gard	F. Maziere	PB	48	capture	F-BA						X2b-226	R1b1	6786	0.02+/-0.01		
MIT1030B	 MITRA 2	Garons	43.77005	4.42454	Late Bronze Age	Late Bronze Age		1400-1100	Occitanie (South)	Gard	B. Sendra	PB	45	capture	F-BA						J2a1a1		5023	0+/-0		
MIT1167A	 MITRA 2	Garons	43.77005	4.42454	Late Bronze Age	Late Bronze Age	3005 +/- 30BP	1382-1127	Occitanie (South)	Gard	M. Laroche	PB	45	capture	F-BA						T2e		5278	0+/-0		
MIT1167B	 MITRA 2	Garons	43.77005	4.42454	Late Bronze Age	Late Bronze Age		1400-1100	Occitanie (South)	Gard	M. Laroche	PB	45	capture	F-BA						T2e		6173	0+/-0		
MIT1167C	 MITRA 2	Garons	43.77005	4.42454	Late Bronze Age	Late Bronze Age		1400-1100	Occitanie (South)	Gard	M. Laroche	PB	45	capture	F-BA						H1e1a		5904	0+/-0		
MIT1059	 MITRA 2	Garons	43.77005	4.42454	Late Bronze Age	Late Bronze Age		1400-1100	Occitanie (South)	Gard	M. Laroche	PB	45	capture	F-BA						V					
VIGN203	Mas de Vignoles IV	Nîmes	43.81986	4.36264	Late Bronze Age	Late Bronze Age			Occitanie (South)	Gard	F. Maziere	PB	47	capture	F-BA						U5b1b1-@16192		2290	0+/-0		
VIGN3052	Mas de Vignoles IV	Nîmes	43.81986	4.36264	Late Bronze Age	Late Bronze Age			Occitanie (South)	Gard	F. Maziere	PB	47	capture	F-BA						T2e		11507	0+/-0		
