Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
DA359	Lokomotiv	Russia	NorthAsia	Siberia_Neolithic_Kitoi	52.29	104.25	Damgaard_Science_2018	7,657	7,460	7,559	direct	XY	N1a	N1a2	0.73	0.994	0	3.1.3.1.1.1.7	Baikal_8000BP_7200BP	Asia_45000BP_200BP	HG_LakeBaikal_early
DA340	Lokomotiv	Russia	NorthAsia	Siberia_Neolithic_Kitoi	52.29	104.25	Damgaard_Science_2018	7,175	6,804	6,990	direct	XX			0.60	0.992	2d_rel_DA341				
DA342	Ust'-Ida	Russia	NorthAsia	Siberia_Neolithic_Isakovo	53.19	103.37	Damgaard_Science_2018	5,745	5,474	5,610	direct	XX			1.78	0.994	0	3.1.5.3.1	Baikal_5600BP_5400BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA344	Ust'-Ida	Russia	NorthAsia	Siberia_Neolithic_Isakovo	53.19	103.37	Damgaard_Science_2018	5,892	5,323	5,608	direct	XX			0.22	0.988	0	3.1.5.3.2	Baikal_5600BP_5400BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA355	Ust'-Ida	Russia	NorthAsia	Siberia_Neolithic_Isakovo	53.19	103.37	Damgaard_Science_2018	5,601	5,321	5,461	direct	XY	Q1b	Q1b1	0.45	0.988	0	3.1.5.3.4	Baikal_5600BP_5400BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA345	Ust'-Ida	Russia	NorthAsia	Siberia_Neolithic_Isakovo	53.19	103.37	Damgaard_Science_2018	5,591	5,320	5,456	direct	XY	N1a	N1a1	1.07	0.994	0	3.1.5.3.3	Baikal_5600BP_5400BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA358	Kurma XI	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	53.18	106.96	Damgaard_Science_2018	4,831	4,588	4,710	direct	XX			0.92	0.994	0	3.1.5.1.1.3	Baikal_4800BP_4200BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA360	Kurma XI	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	53.18	106.96	Damgaard_Science_2018	4,829	4,583	4,706	direct	XX			0.31	0.990	0	3.1.5.1.1.4	Baikal_4800BP_4200BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA354	Kurma XI	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	53.18	106.96	Damgaard_Science_2018	4,806	4,445	4,626	direct	XY	Q1b	Q1b1	0.22	0.987	0	3.1.5.1.1.2	Baikal_4800BP_4200BP	Asia_45000BP_200BP	HG_LakeBaikal_late
RISE675	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,809	4,300	4,555	direct	XY	R1b	R1b1a1b1b	0.54	0.993	0	3.1.2.2.1.1.1	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE680	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,850	3,750	4,300	context	XX			1.52	0.995	0	3.1.2.2.1.3	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE681	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,850	3,750	4,300	context	XX			0.54	0.991	0	3.1.2.2.1.1.3	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE685	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,850	3,750	4,300	context	XX			1.35	0.995	0	3.1.2.2.1.1.5	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE684	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,414	4,091	4,253	direct	XX			0.54	0.992	0	3.1.2.2.1.1.4	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE683	Uybat V	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,088	3,865	3,977	direct	XY	Q1a	Q1a2	2.05	0.993	0	3.1.2.2.1.3	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE677	Uybat III	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.71	90.36	Damgaard_Science_2018	4,781	4,183	4,482	direct	XX			0.28	0.989	0	3.1.2.2.1.1.2	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE718	Syda 5, Tumen	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	54.37	91.51	Damgaard_Science_2018	4,523	4,298	4,411	direct	XY	Q1b	Q1b1	0.83	0.994	0	3.1.2.2.1.1.6	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE719	Syda 5, Tumen	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	54.37	91.51	Damgaard_Science_2018	4,850	3,750	4,300	context	XY	Q1b	Q1b1	0.64	0.994	0	3.1.2.2.1.1.7	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE667	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,850	3,750	4,300	context	XX			0.21	0.987	0	3.1.2.2.2.3	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE671	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,850	3,750	4,300	context	XX			0.33	0.990	0	3.1.2.2.2.4	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE672	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,850	3,750	4,300	context	XY	Q1b	Q1b	1.29	0.995	0	3.1.2.2.2.5	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE673	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,850	3,750	4,300	context	XY	Q1b	Q1b	0.13	0.984	1d_rel_RISE515				
RISE515	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,290	4,095	4,193	direct	XX			0.60	0.993	0	3.1.2.2.2.2	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE674	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,231	3,926	4,079	direct	XY	Q1b	Q1b2	2.77	0.996	0	3.1.2.2.2.1	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE516	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,151	3,986	4,069	direct	XX			0.96	0.993	1d_rel_RISE672				
RISE670	Verkhni Askiz	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.16	90.21	Damgaard_Science_2018	4,091	3,835	3,963	direct	XY	Q1b	Q1b1	0.70	0.993	0	3.1.2.2.2.1	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
DA337	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,412	4,249	4,331	direct	XY	Q1b	Q1b1	1.20	0.995	0	3.1.5.2.4	Baikal_4300BP_2800BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA338	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,450	3,950	4,200	context	XY	Q1b	Q1b1	0.45	0.991	1d_rel_DA336				
DA336	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,450	3,950	4,200	context	XY	Q1b	Q1b1	0.71	0.994	0	3.1.5.2.3	Baikal_4300BP_2800BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA335	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,450	3,950	4,200	context	XY	Q1b	Q1b1	0.51	0.991	1d_rel_DA334				
DA334	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,231	4,011	4,121	direct	XY	Q1b	Q1b1	0.55	0.993	0	3.1.5.2.1	Baikal_4300BP_2800BP	Asia_45000BP_200BP	HG_LakeBaikal_late
DA339	Shamanka II	Russia	NorthAsia	Siberia_BronzeAge_Glazkovo	51.7	103.7	Damgaard_Science_2018	4,149	3,930	4,040	direct	XY	Q1b	Q1b1	0.32	0.990	0	3.1.5.2.1	Baikal_4300BP_2800BP	Asia_45000BP_200BP	HG_LakeBaikal_late
RISE664	Okunev Ulus	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.55	91.03	Damgaard_Science_2018	4,409	4,156	4,283	direct	XY	Q1b	Q1b1	4.75	0.997	0	3.1.2.2.1.2	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
RISE662	Okunev Ulus	Russia	NorthAsia	Siberia_BronzeAge_Okunevo	53.55	91.03	Damgaard_Science_2018	4,240	3,899	4,070	direct	XY	Q1b	Q1b1	0.62	0.993	0	3.1.2.2.1.2	Okunev_4500BP_4000BP	Asia_45000BP_200BP	HG_Siberia_ForestSteppe
NNM-A-1	Njarovik	Iceland	NorthernEurope	Iceland_VikingAge	65.58	-13.89	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	R1a	R1a1a1b1a3a1	0.67	0.993	0	1.1.3.1.1.2.4	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
DKS-A-1	Ondverdarnes	Iceland	NorthernEurope	Iceland_VikingAge	64.91	-24.05	Ebenesersdottir_Science_2018	1,100	950	1,025	context	XY	R1a	R1a1a1b1a3a2	1.23	0.990	0	1.1.3.1.2.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SSG-A-2	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1,100	950	1,025	context	XY	R1b	R1b1a1b1a1a2c1a5b1	10.22	0.998	0	1.2.1.1.1.1.1.4	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSG-A-3	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1,100	950	1,025	context	XY	I1a	I1a1b1	0.28	0.987	0	1.2.1.2.1.1.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSG-A-4	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1,100	950	1,025	context	XX			7.72	0.997	0	1.2.1.1.1.1.1.5	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSJ-A-2	Surtsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.54	-14.53	Ebenesersdottir_Science_2018	1,100	950	1,025	context	XY	I1a	I1a1b1	0.44	0.990	0	1.1.1.5.1.2	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SVK-A-1	Svinadalur	Iceland	NorthernEurope	Iceland_VikingAge	65.94	-16.57	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	I1a	I1a1	1.99	0.996	0	1.1.3.1.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
FSS-A-1	Fremri-Svartardalur	Iceland	NorthernEurope	Iceland_VikingAge	65.32	-19.15	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XX			1.25	0.995	0	1.1.1.1.1.1.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
GTE-A-1	Gilsarteigur	Iceland	NorthernEurope	Iceland_VikingAge	65.37	-14.3	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	R1a	R1a	0.33	0.984	0	1.2.1.2.1.1.2	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
GRS-A-1	Grimsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.64	-16.12	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	R1a	R1a1a1b1a3a2	0.71	0.991	0	1.2.1.2.1.3.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
HSJ-A-1	Hrolfsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.4	-14.66	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	I1a	I1a1b1a4a2	29.37	0.999	0	1.1.3.1.1.1.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SBT-A-1	Smyrlaberg	Iceland	NorthernEurope	Iceland_VikingAge	65.6	-20.15	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	I1a	I1a2a1a1a2~	6.98	0.997	0	1.2.1.1.1.1.2.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
DAV-A-8	Dalvik, Brimnes	Iceland	NorthernEurope	Iceland_VikingAge	65.97	-18.53	Ebenesersdottir_Science_2018	1,050	950	1,000	context	XX			4.53	0.996	0	1.1.5	Iceland_1000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
DAV-A-9	Dalvik, Brimnes	Iceland	NorthernEurope	Iceland_VikingAge	65.97	-18.53	Ebenesersdottir_Science_2018	970	930	950	context	XY	I1a	I1a1	0.61	0.989	0	1.1.5	Iceland_1000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
STT-A-2	Straumur	Iceland	NorthernEurope	Iceland_VikingAge	65.43	-14.4	Ebenesersdottir_Science_2018	1,050	950	1,000	context	XY	R1b	R1b1a1b1a1a2c1a	14.11	0.999	0	1.2.1.1.1.2.3	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VDP-A-5	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1,100	900	1,000	context	XX			3.79	0.996	0	1.1.3.4.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VDP-A-6	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1,100	900	1,000	context	XY	R1a	R1a1a1b1a3a1	4.59	0.998	0	1.1.1.1.1.1.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VDP-A-7	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1,100	900	1,000	context	XY	R1b	R1b1a1b1a1a1b	3.85	0.997	0	1.1.3.4.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
MKR-A-1	Vidar, Masvatn	Iceland	NorthernEurope	Iceland_VikingAge	65.65	-17.31	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XY	R1a	R1a1a1b	0.31	0.982	0	1.2.1.2.1.1.4	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
YGS-B-2	Ytra-Gardshorn	Iceland	NorthernEurope	Iceland_VikingAge	65.9	-18.6	Ebenesersdottir_Science_2018	1,080	950	1,015	context	XXY			1.97	0.995	0	1.1.3.2.1.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
TGS-A-1	Tunga	Iceland	NorthernEurope	Iceland_VikingAge	65.54	-20.62	Ebenesersdottir_Science_2018	1,053	926	990	direct	XY	R1b	R1b1a1b1a1a2d	1.21	0.996	0	1.1.3.1.1.2.5	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
KNS-A-1	Karlsnes	Iceland	NorthernEurope	Iceland_VikingAge	64	-20.15	Ebenesersdottir_Science_2018	1,000	900	950	context	XY	R1b	R1b1a1b1a1a2c	1.14	0.994	0	1.2.1.1.1.2.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
TSK-A-26	Skeljastadir	Iceland	NorthernEurope	Iceland_VikingAge	64.12	-19.81	Ebenesersdottir_Science_2018	900	750	825	context	XY	R1a	R1a1a1b1a3	0.94	0.992	0	1.2.1.1.1.2.1	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
FOV-A-1	Fossvellir	Iceland	NorthernEurope	Iceland_Medieval	65.45	-14.6	Ebenesersdottir_Science_2018	704	567	636	direct	XY	R1b	R1b1a1b1a1a2c1a1a	0.87	0.992	0	1.1.3.1.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
KOV-A-2	Kopavogur	Iceland	NorthernEurope	Iceland_Historical	64.11	-21.91	Ebenesersdottir_Science_2018	272	200	236	direct	XY	R1b	R1b1a1b1a1	0.69	0.992	0	1.1.1.1.1.2.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
Gjerrild5	Gjerrild	Denmark	NorthernEurope	Denmark_Neolithic	56.5	10.83	Egfjord_PLoSOne_2021	4,234	3,986	4,110	direct	XY	R1b	R1b1a2	1.08	0.991	0	1.2.3.2.1.3	EuropeNE_4800BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
PL_N22	Brzesc Kujawski	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.9	Fernandes_ScientificReports_2018	6,392	6,190	6,291	direct	XX			1.49	0.996	0	4.2.3.1.2	EuropeE_8600BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
PL_N36	Konary	Poland	CentralEasternEurope	Poland_Neolithic_BKG	50.67	21.38	Fernandes_ScientificReports_2018	6,550	5,950	6,250	context	XX			1.67	0.997	0	2.3.1.2.4	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N26	Konary	Poland	CentralEasternEurope	Poland_Neolithic_BKG	50.67	21.38	Fernandes_ScientificReports_2018	6,284	6,018	6,151	direct	XY	G2a	G2a2b2a	2.15	0.997	0	2.3.1.2.2	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N25	Oslonki	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.8	Fernandes_ScientificReports_2018	6,550	5,950	6,250	context	XX			2.30	0.997	0	2.3.1.2.1	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N27	Oslonki	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.8	Fernandes_ScientificReports_2018	6,550	5,950	6,250	context	XY	G2a	G2a2b2a	1.79	0.997	0	2.3.1.1.8	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N31	Oslonki	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.8	Fernandes_ScientificReports_2018	6,273	6,002	6,138	direct	XX			3.00	0.998	0	2.3.1.1.9	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N28	Oslonki	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.8	Fernandes_ScientificReports_2018	6,201	5,946	6,074	context	XY	G2a	G2a2b2a	1.75	0.997	0	2.3.1.2.3	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N42	Oslonki	Poland	CentralEasternEurope	Poland_Neolithic_BKG	52.61	18.8	Fernandes_ScientificReports_2018	6,181	5,929	6,055	direct	XX			0.58	0.994	0	4.2.3.1.4	EuropeE_8600BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
PL_N18	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_FBC	52.62	18.96	Fernandes_ScientificReports_2018	5,586	5,339	5,463	direct	XX			1.91	0.997	0	2.4.1.1.2.2	Scandivia_5600BP_4600BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeE_late
PL_N19	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_FBC	52.62	18.96	Fernandes_ScientificReports_2018	5,586	5,338	5,462	direct	XX			1.68	0.997	0	2.3.1.1.7	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
PL_N20	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_FBC	52.62	18.96	Fernandes_ScientificReports_2018	5,586	5,338	5,462	direct	XY	C1	C1	0.80	0.995	0	2.4.1.1.2.2	Scandivia_5600BP_4600BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeE_late
PL_N38	Brzesc Kujawski	Poland	CentralEasternEurope	Poland_Neolithic_GAC	52.61	18.9	Fernandes_ScientificReports_2018	5,213	4,853	5,033	direct	XX			1.77	0.997	0	2.4.2.1.2	Poland_5000BP_4700BP	EuropeWCAsia_25000BP_300BP	Farmer_EuropeE_late
PL_N44	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_CWC	52.62	18.96	Fernandes_ScientificReports_2018	4,520	4,380	4,450	direct	XX			1.84	0.996	0	1.2.4.2	Poland_4400BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
PL_N45	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_CWC	52.62	18.96	Fernandes_ScientificReports_2018	4,520	4,290	4,405	context	XX			2.21	0.997	0	1.2.4.2	Poland_4400BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
PL_N47	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_CWC	52.62	18.96	Fernandes_ScientificReports_2018	4,520	4,290	4,405	context	XY	I2a	I2a1b1a2b	2.29	0.997	0	1.2.4.1	Poland_4400BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
PL_N49	Pikutkowo	Poland	CentralEasternEurope	Poland_Neolithic_CWC	52.62	18.96	Fernandes_ScientificReports_2018	4,520	4,290	4,405	context	XY	I2a	I2a1b1a2b	1.96	0.996	0	1.2.4.1	Poland_4400BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
PL_N17	Gustorzyn	Poland	CentralEasternEurope	Poland_BronzeAge	52.66	18.88	Fernandes_ScientificReports_2018	3,966	3,725	3,846	direct	XY	R1a	R1a1a1b1	2.40	0.998	0	1.2.1.1.2.1.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
UstIshim	Ust'-Ishim, Siberia	Russia	NorthAsia	Siberia_UpperPaleolithic_UstIshim	57.7	71.1	Fu_Nature_2014	47,480	42,560	45,020	direct	XY	K2a	K2a	35.19	0.999	0	3.1.4.1.4.1	UstIshim_45000BP	Asia_45000BP_200BP	HG_Siberia_UP
Karelia	Karelia, Yuzhnyy Oleni Ostrov	Russia	CentralEasternEurope	Russia_Mesolithic	61.65	35.65	Fu_Nature_2016	8,723	7,836	8,280	context	XY	R1a	R1a	1.69	0.997	0	4.1.4.1.2	RussiaNW_11000BP_8000BP	Europe_15000BP_4000BP	HG_EuropeE
Mota	Mota Cave	Ethiopia	EastAfrica	Ethiopia_Neolithic	6.8	38.21	GallegoLlorente_Science_2015	4,525	4,419	4,472	direct	XY	E1b	E1b	10.15	0.996	0	6.1.1	Ethiopia_4500BP	Africa_8000BP_400BP	HG_Africa
GD13a	Ganj Dareh Tepe, Zagros	Iran	WesternAsia	Iran_Neolithic	34.45	48.12	GallegoLlorente_ScientificReports_2016	10,129	9,563	9,846	direct	XX			1.42	0.993	0	2.1.3.2.1.3	Iran_10000BP_8500BP	EuropeWCAsia_25000BP_300BP	Farmer_Iran
KO1	Tiszaszolos-Domaháza	Hungary	CentralEasternEurope	Hungary_Neolithic_Koros	47.56	20.72	Gamba_NatureCommunications_2014	7,730	7,590	7,660	direct	XY	I2a	I2a1a	1.01	0.994	0	4.2.3.1.1	EuropeE_8600BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NE2	Debrecen Tocopart Erdoalja	Hungary	CentralEasternEurope	Hungary_Neolithic_ALP	47.52	21.59	Gamba_NatureCommunications_2014	7,241	7,006	7,124	direct	XX			0.15	0.986	0	2.3.3.1.2	EuropeEW_8500BP_6500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
NE1	Polgár-Ferenci hát, M3-31	Hungary	CentralEasternEurope	Hungary_Neolithic_ALP	47.85	21.15	Gamba_NatureCommunications_2014	7,256	7,021	7,139	direct	XX			18.42	0.999	0	2.3.1.1.2	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
NE5	Kompolt-Kigyoser	Hungary	CentralEasternEurope	Hungary_Neolithic_ALP	47.17	20.83	Gamba_NatureCommunications_2014	7,160	6,940	7,050	direct	XY	C1	C1	0.78	0.994	0	2.3.1.1.3	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
NE6	Apc-Berekalya I	Hungary	CentralEasternEurope	Hungary_Neolithic_LBK	47.17	19.83	Gamba_NatureCommunications_2014	7,161	6,942	7,052	direct	XY	C1	C1	0.94	0.995	0	2.3.1.1.4	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
NE7	Apc-Berekalya I	Hungary	CentralEasternEurope	Hungary_Neolithic_Lengyel	47.17	19.83	Gamba_NatureCommunications_2014	6,441	6,307	6,374	direct	XY	I2a	I2a1a	0.91	0.994	0	2.3.1.1.5	EuropeCE_7000BP_5500BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
CO1	Apc-Berekalya I	Hungary	CentralEasternEurope	Hungary_Neolithic_Baden	47.17	19.83	Gamba_NatureCommunications_2014	4,850	4,650	4,750	direct	XX			0.86	0.994	0	2.3.2.1	EuropeS_8000BP_6000BP	EuropeWCAsia_25000BP_300BP	Farmer_Europe_early
BR1	Kompolt-Kigyoser	Hungary	CentralEasternEurope	Hungary_BronzeAge_Mako	47.17	20.83	Gamba_NatureCommunications_2014	4,140	3,930	4,035	direct	XX			0.63	0.993	0	1.3.1.3.2.1	EuropeE_4000BP_2500BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
