Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE480	Erd 4	Hungary	CentralEasternEurope	Hungary_BronzeAge_Vatya	47.34	18.9	Allentoft_Nature_2015	3,650	3,450	3,550	context	XX			0.11	0.984	0	2.1.2.2.1.1.5	Europe_4000BP_2000BP	EuropeWCAsia_25000BP_300BP	PostNeol_Levant_MedE
RISE247	Százhalombatta-Földvár	Hungary	CentralEasternEurope	Hungary_BronzeAge_Vatya	47.33	18.96	Allentoft_Nature_2015	3,696	3,561	3,629	direct	XY	I2a	I2a1b1a1b	0.26	0.990	0	2.1.2.2.1.2.2	Europe_4000BP_2000BP	EuropeWCAsia_25000BP_300BP	PostNeol_Levant_MedE
RISE566	Knezeves	CzechRepublic	CentralEasternEurope	Czech_BronzeAge_Beaker	50.12	14.26	Allentoft_Nature_2015	4,229	3,983	4,106	direct	XY	R1b	R1b1a1b1a1	0.13	0.985	0	1.2.1.2.2.1.1.6	Europe_4500BP_2000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE586	Moravska Nova Ves	CzechRepublic	CentralEasternEurope	Czech_BronzeAge_Unetice	48.8	17.02	Allentoft_Nature_2015	4,250	3,750	4,000	context	XX			0.15	0.983	0	1.2.1.2.2.1.1.2	Europe_4500BP_2000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE577	Velke Prilepy	CzechRepublic	CentralEasternEurope	Czech_BronzeAge_Unetice	50.17	14.32	Allentoft_Nature_2015	4,250	3,750	4,000	context	XX			1.43	0.995	0	1.2.1.3.1.9	Scandivia_4200BP_3200BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE569	Brandysek	CzechRepublic	CentralEasternEurope	Czech_IronAge_Slav	50.19	14.16	Allentoft_Nature_2015	1,290	1,180	1,235	direct	XX			1.31	0.995	0	1.3.1.1.1.1	EuropeNE_1200BP_700BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
RISE431	Leki Male	Poland	CentralEasternEurope	Poland_Neolithic_CWC	52.14	16.54	Allentoft_Nature_2015	4,236	3,998	4,117	direct	XY	R1a	R1a	0.11	0.977	lowGpAvg				
RISE109	Wojkowice	Poland	CentralEasternEurope	Poland_BronzeAge_Unetice	50.98	17.07	Allentoft_Nature_2015	3,904	3,722	3,813	direct	XX			0.20	0.989	0	1.2.1.4.1.3	Scandivia_4600BP_3800BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE154	Szczepankowice	Poland	CentralEasternEurope	Poland_BronzeAge_Unetice	50.95	16.94	Allentoft_Nature_2015	3,875	3,715	3,795	direct	XX			0.13	0.985	0	1.2.1.2.2.1.2.5	Europe_4500BP_2000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
RISE150	Przeclawice	Poland	CentralEasternEurope	Poland_BronzeAge_Unetice	50.92	16.96	Allentoft_Nature_2015	3,835	3,643	3,739	direct	XX			2.72	0.996	0	1.2.3.2.1.6	EuropeNE_4800BP_3000BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
