run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR4059546	SAMEA6799907	ERX4058331	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059546/ERR4059546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059546/VK124.final.bam		
ERR4059549	SAMEA6799910	ERX4058334	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059549/ERR4059549.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059549/VK128.final.bam		
ERR4059551	SAMEA6799912	ERX4058336	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059551/ERR4059551.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059551/VK133.final.bam		
ERR4059552	SAMEA6799913	ERX4058337	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059552/ERR4059552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059552/VK134.final.bam		
ERR4059555	SAMEA6799916	ERX4058340	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059555/ERR4059555.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059555/VK139.final.bam		
ERR4059560	SAMEA6799922	ERX4058345	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059560/ERR4059560.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059560/VK145.final.bam		
ERR4059570	SAMEA6799932	ERX4058355	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059570/ERR4059570.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059570/VK156.final.bam		
ERR4059575	SAMEA6799937	ERX4058360	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059575/ERR4059575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059575/VK161.final.bam		
ERR4059578	SAMEA6799940	ERX4058363	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059578/ERR4059578.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059578/VK165.final.bam		
ERR4059582	SAMEA6799944	ERX4058367	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059582/ERR4059582.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059582/VK170.final.bam		
ERR4059585	SAMEA6799947	ERX4058370	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059585/ERR4059585.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059585/VK173.final.bam		
ERR4059587	SAMEA6799949	ERX4058372	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059587/ERR4059587.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059587/VK175.final.bam		
ERR4059588	SAMEA6799950	ERX4058373	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059588/ERR4059588.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059588/VK176.final.bam		
ERR4059590	SAMEA6799952	ERX4058375	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059590/ERR4059590.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059590/VK178.final.bam		
ERR4059593	SAMEA6799955	ERX4058378	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059593/ERR4059593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059593/VK182.final.bam		
ERR4059595	SAMEA6799957	ERX4058380	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059595/ERR4059595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059595/VK184.final.bam		
ERR4059598	SAMEA6799960	ERX4058383	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059598/ERR4059598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059598/VK187.final.bam		
ERR4059600	SAMEA6799962	ERX4058385	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059600/ERR4059600.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059600/VK190.final.bam		
ERR4059602	SAMEA6799964	ERX4058387	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059602/ERR4059602.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059602/VK193.final.bam		
ERR4059603	SAMEA6799965	ERX4058388	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059603/ERR4059603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059603/VK196.final.bam		
ERR4059609	SAMEA6799971	ERX4058394	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059609/ERR4059609.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059609/VK205.final.bam		
ERR4059610	SAMEA6799972	ERX4058395	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059610/ERR4059610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059610/VK206.final.bam		
ERR4059611	SAMEA6799973	ERX4058396	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059611/ERR4059611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059611/VK207.final.bam		
ERR4059614	SAMEA6799976	ERX4058399	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059614/ERR4059614.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059614/VK211.final.bam		
ERR4059619	SAMEA6799981	ERX4058404	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059619/ERR4059619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059619/VK216.final.bam		
ERR4059625	SAMEA6799987	ERX4058410	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059625/ERR4059625.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059625/VK222.final.bam		
ERR4059626	SAMEA6799988	ERX4058411	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059626/ERR4059626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059626/VK223.final.bam		
ERR4059630	SAMEA6799992	ERX4058415	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059630/ERR4059630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059630/VK227.final.bam		
ERR4059482	SAMEA6799843	ERX4058267	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059482/ERR4059482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059482/VK15.final.bam		
ERR4059632	SAMEA6799994	ERX4058417	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059632/ERR4059632.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059632/VK230.final.bam		
ERR4059485	SAMEA6799846	ERX4058270	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059485/ERR4059485.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059485/VK18.final.bam		
ERR4059638	SAMEA6800000	ERX4058423	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059638/ERR4059638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059638/VK239.final.bam		
ERR4059488	SAMEA6799849	ERX4058273	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059488/ERR4059488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059488/VK21.final.bam		
ERR4059644	SAMEA6800006	ERX4058429	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059644/ERR4059644.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059644/VK247.final.bam		
ERR4059490	SAMEA6799851	ERX4058275	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059490/ERR4059490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059490/VK23.final.bam		
ERR4059650	SAMEA6800012	ERX4058435	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059650/ERR4059650.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059650/VK255.final.bam		
ERR4059500	SAMEA6799861	ERX4058285	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059500/ERR4059500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059500/VK39.final.bam		
ERR4059653	SAMEA6800015	ERX4058438	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059653/ERR4059653.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059653/VK258.final.bam		
ERR4059504	SAMEA6799865	ERX4058289	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059504/ERR4059504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059504/VK45.final.bam		
ERR4059505	SAMEA6799866	ERX4058290	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059505/ERR4059505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059505/VK46.final.bam		
ERR4059507	SAMEA6799868	ERX4058292	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059507/ERR4059507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059507/VK50.final.bam		
ERR4059510	SAMEA6799871	ERX4058295	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059510/ERR4059510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059510/VK56.final.bam		
ERR4059512	SAMEA6799873	ERX4058297	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059512/ERR4059512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059512/VK58.final.bam		
ERR4059513	SAMEA6799874	ERX4058298	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059513/ERR4059513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059513/VK60.final.bam		
ERR4059515	SAMEA6799876	ERX4058300	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059515/ERR4059515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059515/VK64.final.bam		
ERR4059478	SAMEA6799839	ERX4058263	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059478/ERR4059478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059478/VK6.final.bam		
ERR4059479	SAMEA6799840	ERX4058264	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059479/ERR4059479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059479/VK9.final.bam		
ERR4059654	SAMEA6800016	ERX4058439	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059654/ERR4059654.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059654/VK259.final.bam		
ERR4059519	SAMEA6799880	ERX4058304	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059519/ERR4059519.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059519/VK71.final.bam		
ERR4059481	SAMEA6799842	ERX4058266	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059481/ERR4059481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059481/VK14.final.bam		
ERR4059520	SAMEA6799881	ERX4058305	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059520/ERR4059520.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059520/VK74.final.bam		
ERR4059483	SAMEA6799844	ERX4058268	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059483/ERR4059483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059483/VK16.final.bam		
ERR4059484	SAMEA6799845	ERX4058269	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059484/ERR4059484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059484/VK17.final.bam		
ERR4059522	SAMEA6799883	ERX4058307	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059522/ERR4059522.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059522/VK76.final.bam		
ERR4059486	SAMEA6799847	ERX4058271	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059486/ERR4059486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059486/VK19.final.bam		
ERR4059523	SAMEA6799884	ERX4058308	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059523/ERR4059523.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059523/VK77.final.bam		
ERR4059658	SAMEA6800020	ERX4058443	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059658/ERR4059658.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059658/VK263.final.bam		
ERR4059489	SAMEA6799850	ERX4058274	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059489/ERR4059489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059489/VK22.final.bam		
ERR4059524	SAMEA6799885	ERX4058309	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059524/ERR4059524.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059524/VK78.final.bam		
ERR4059491	SAMEA6799852	ERX4058276	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059491/ERR4059491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059491/VK24.final.bam		
ERR4059660	SAMEA6800022	ERX4058445	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059660/ERR4059660.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059660/VK265.final.bam		
ERR4059529	SAMEA6799890	ERX4058314	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059529/ERR4059529.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059529/VK92.final.bam		
ERR4059492	SAMEA6799853	ERX4058277	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059492/ERR4059492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059492/VK25.final.bam		
ERR4059493	SAMEA6799854	ERX4058278	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059493/ERR4059493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059493/VK27.final.bam		
ERR4059494	SAMEA6799855	ERX4058279	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059494/ERR4059494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059494/VK29.final.bam		
ERR4059661	SAMEA6800023	ERX4058446	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059661/ERR4059661.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059661/VK266.final.bam		
ERR4059495	SAMEA6799856	ERX4058280	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059495/ERR4059495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059495/VK30.final.bam		
ERR4059531	SAMEA6799892	ERX4058316	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059531/ERR4059531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059531/VK95.final.bam		
ERR4059662	SAMEA6800024	ERX4058447	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059662/ERR4059662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059662/VK267.final.bam		
ERR4059663	SAMEA6800025	ERX4058448	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059663/ERR4059663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059663/VK268.final.bam		
ERR4059532	SAMEA6799893	ERX4058317	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059532/ERR4059532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059532/VK98.final.bam		
ERR4059497	SAMEA6799858	ERX4058282	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059497/ERR4059497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059497/VK33.final.bam		
ERR4059499	SAMEA6799860	ERX4058284	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059499/ERR4059499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059499/VK35.final.bam		
ERR4059675	SAMEA6800037	ERX4058460	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059675/ERR4059675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059675/VK282.final.bam		
ERR4059535	SAMEA6799896	ERX4058320	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059535/ERR4059535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059535/VK102.final.bam		
ERR4059502	SAMEA6799863	ERX4058287	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059502/ERR4059502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059502/VK42.final.bam		
ERR4059503	SAMEA6799864	ERX4058288	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059503/ERR4059503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059503/VK44.final.bam		
ERR4059676	SAMEA6800038	ERX4058461	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059676/ERR4059676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059676/VK284.final.bam		
ERR4059540	SAMEA6799901	ERX4058325	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059540/ERR4059540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059540/VK114.final.bam		
ERR4059506	SAMEA6799867	ERX4058291	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059506/ERR4059506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059506/VK48.final.bam		
ERR4059548	SAMEA6799909	ERX4058333	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059548/ERR4059548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059548/VK127.final.bam		
