run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR4059477	SAMEA6799838	ERX4058262	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059477/ERR4059477.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059477/VK1.final.bam		
ERR4059480	SAMEA6799841	ERX4058265	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059480/ERR4059480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059480/VK11.final.bam		
ERR4059487	SAMEA6799848	ERX4058272	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059487/ERR4059487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059487/VK20.final.bam		
ERR4059496	SAMEA6799857	ERX4058281	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059496/ERR4059496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059496/VK31.final.bam		
ERR4059498	SAMEA6799859	ERX4058283	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059498/ERR4059498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059498/VK34.final.bam		
ERR4059501	SAMEA6799862	ERX4058286	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059501/ERR4059501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059501/VK40.final.bam		
ERR4059509	SAMEA6799870	ERX4058294	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059509/ERR4059509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059509/VK53.final.bam		
ERR4059511	SAMEA6799872	ERX4058296	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059511/ERR4059511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059511/VK57.final.bam		
ERR4059517	SAMEA6799878	ERX4058302	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059517/ERR4059517.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059517/VK69.final.bam		
ERR4059525	SAMEA6799886	ERX4058310	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059525/ERR4059525.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059525/VK84.final.bam		
ERR4059528	SAMEA6799889	ERX4058313	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059528/ERR4059528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059528/VK90.final.bam		
ERR4059530	SAMEA6799891	ERX4058315	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059530/ERR4059530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059530/VK94.final.bam		
ERR4059537	SAMEA6799898	ERX4058322	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059537/ERR4059537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059537/VK110.final.bam		
ERR4059539	SAMEA6799900	ERX4058324	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059539/ERR4059539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059539/VK113.final.bam		
ERR4059541	SAMEA6799902	ERX4058326	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059541/ERR4059541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059541/VK116.final.bam		
ERR4059542	SAMEA6799903	ERX4058327	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059542/ERR4059542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059542/VK117.final.bam		
ERR4059543	SAMEA6799904	ERX4058328	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059543/ERR4059543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059543/VK118.final.bam		
ERR4059544	SAMEA6799905	ERX4058329	PRJEB37976	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059544/ERR4059544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059544/VK122.final.bam		
